unlearning_classes:1
unlearning_grad:[tensor(127.0982, device='cuda:0'), tensor(119.0602, device='cuda:0'), tensor(134.3490, device='cuda:0'), tensor(136.4397, device='cuda:0'), tensor(148.3178, device='cuda:0'), tensor(130.8618, device='cuda:0'), tensor(118.1191, device='cuda:0'), tensor(129.0968, device='cuda:0'), tensor(122.2898, device='cuda:0'), tensor(120.0511, device='cuda:0')]
unlearning_grad:[tensor(121.6316, device='cuda:0'), tensor(108.9496, device='cuda:0'), tensor(129.2878, device='cuda:0'), tensor(126.8631, device='cuda:0'), tensor(126.0612, device='cuda:0'), tensor(125.4616, device='cuda:0'), tensor(116.0344, device='cuda:0'), tensor(118.3161, device='cuda:0'), tensor(113.6606, device='cuda:0'), tensor(117.4182, device='cuda:0')]
unlearning_grad:[tensor(133.0920, device='cuda:0'), tensor(108.3924, device='cuda:0'), tensor(125.3931, device='cuda:0'), tensor(138.8802, device='cuda:0'), tensor(125.0500, device='cuda:0'), tensor(123.3082, device='cuda:0'), tensor(113.5139, device='cuda:0'), tensor(119.2123, device='cuda:0'), tensor(107.4273, device='cuda:0'), tensor(112.8968, device='cuda:0')]
unlearning_grad:[tensor(122.9277, device='cuda:0'), tensor(114.2199, device='cuda:0'), tensor(129.1279, device='cuda:0'), tensor(130.2923, device='cuda:0'), tensor(128.3562, device='cuda:0'), tensor(125.7125, device='cuda:0'), tensor(124.9201, device='cuda:0'), tensor(122.4575, device='cuda:0'), tensor(116.3525, device='cuda:0'), tensor(116.7828, device='cuda:0')]
unlearning_grad:[tensor(124.0894, device='cuda:0'), tensor(110.8733, device='cuda:0'), tensor(135.2915, device='cuda:0'), tensor(129.6694, device='cuda:0'), tensor(129.8591, device='cuda:0'), tensor(141.8242, device='cuda:0'), tensor(118.7287, device='cuda:0'), tensor(122.4044, device='cuda:0'), tensor(118.0391, device='cuda:0'), tensor(116.8941, device='cuda:0')]
unlearning_grad:[tensor(126.9577, device='cuda:0'), tensor(117.0989, device='cuda:0'), tensor(136.0900, device='cuda:0'), tensor(136.9380, device='cuda:0'), tensor(139.0639, device='cuda:0'), tensor(138.1472, device='cuda:0'), tensor(122.8142, device='cuda:0'), tensor(127.2401, device='cuda:0'), tensor(121.8391, device='cuda:0'), tensor(124.0184, device='cuda:0')]
unlearning_grad:[tensor(131.0674, device='cuda:0'), tensor(119.8955, device='cuda:0'), tensor(147.6226, device='cuda:0'), tensor(141.1434, device='cuda:0'), tensor(135.2377, device='cuda:0'), tensor(139.0137, device='cuda:0'), tensor(126.4125, device='cuda:0'), tensor(134.3035, device='cuda:0'), tensor(123.1135, device='cuda:0'), tensor(126.4080, device='cuda:0')]
unlearning_grad:[tensor(119.5665, device='cuda:0'), tensor(111.5959, device='cuda:0'), tensor(131.8817, device='cuda:0'), tensor(131.0115, device='cuda:0'), tensor(126.3667, device='cuda:0'), tensor(123.0978, device='cuda:0'), tensor(113.0632, device='cuda:0'), tensor(118.0835, device='cuda:0'), tensor(115.1177, device='cuda:0'), tensor(115.5520, device='cuda:0')]
unlearning_grad:[tensor(127.9540, device='cuda:0'), tensor(116.5105, device='cuda:0'), tensor(138.3928, device='cuda:0'), tensor(143.9698, device='cuda:0'), tensor(134.0451, device='cuda:0'), tensor(134.8158, device='cuda:0'), tensor(119.3736, device='cuda:0'), tensor(128.4476, device='cuda:0'), tensor(122.5873, device='cuda:0'), tensor(120.0862, device='cuda:0')]
unlearning_grad:[tensor(122.4053, device='cuda:0'), tensor(112.8832, device='cuda:0'), tensor(131.1334, device='cuda:0'), tensor(131.0743, device='cuda:0'), tensor(131.6583, device='cuda:0'), tensor(126.4927, device='cuda:0'), tensor(110.6039, device='cuda:0'), tensor(119.6552, device='cuda:0'), tensor(116.0541, device='cuda:0'), tensor(116.6456, device='cuda:0')]
unlearning_grad:[tensor(103.4241, device='cuda:0'), tensor(110.8113, device='cuda:0'), tensor(114.0183, device='cuda:0'), tensor(115.2764, device='cuda:0'), tensor(110.4902, device='cuda:0'), tensor(116.5943, device='cuda:0'), tensor(99.4031, device='cuda:0'), tensor(104.5522, device='cuda:0'), tensor(96.5238, device='cuda:0'), tensor(95.5165, device='cuda:0')]
unlearning_grad:[tensor(116.1913, device='cuda:0'), tensor(105.9900, device='cuda:0'), tensor(126.7848, device='cuda:0'), tensor(125.8404, device='cuda:0'), tensor(125.0165, device='cuda:0'), tensor(119.9959, device='cuda:0'), tensor(115.8662, device='cuda:0'), tensor(118.9014, device='cuda:0'), tensor(109.5722, device='cuda:0'), tensor(112.3236, device='cuda:0')]
unlearning_grad:[tensor(117.7360, device='cuda:0'), tensor(110.4329, device='cuda:0'), tensor(127.9354, device='cuda:0'), tensor(126.8352, device='cuda:0'), tensor(127.1337, device='cuda:0'), tensor(131.6354, device='cuda:0'), tensor(115.0743, device='cuda:0'), tensor(122.6476, device='cuda:0'), tensor(115.7488, device='cuda:0'), tensor(112.4215, device='cuda:0')]
unlearning_grad:[tensor(118.7280, device='cuda:0'), tensor(105.0212, device='cuda:0'), tensor(128.6043, device='cuda:0'), tensor(122.5671, device='cuda:0'), tensor(122.6597, device='cuda:0'), tensor(122.4985, device='cuda:0'), tensor(125.4407, device='cuda:0'), tensor(117.9212, device='cuda:0'), tensor(115.0678, device='cuda:0'), tensor(116.8462, device='cuda:0')]
unlearning_grad:[tensor(125.2612, device='cuda:0'), tensor(115.2264, device='cuda:0'), tensor(137.3056, device='cuda:0'), tensor(133.9356, device='cuda:0'), tensor(133.2207, device='cuda:0'), tensor(146.3779, device='cuda:0'), tensor(121.5814, device='cuda:0'), tensor(128.1046, device='cuda:0'), tensor(116.2349, device='cuda:0'), tensor(119.4566, device='cuda:0')]
unlearning_grad:[tensor(115.3345, device='cuda:0'), tensor(106.4276, device='cuda:0'), tensor(127.4332, device='cuda:0'), tensor(124.5085, device='cuda:0'), tensor(121.1309, device='cuda:0'), tensor(120.6335, device='cuda:0'), tensor(108.2053, device='cuda:0'), tensor(115.7975, device='cuda:0'), tensor(122.5778, device='cuda:0'), tensor(109.9476, device='cuda:0')]
unlearning_grad:[tensor(108.4047, device='cuda:0'), tensor(102.9828, device='cuda:0'), tensor(118.3196, device='cuda:0'), tensor(116.6433, device='cuda:0'), tensor(122.2385, device='cuda:0'), tensor(113.4900, device='cuda:0'), tensor(101.6800, device='cuda:0'), tensor(109.0693, device='cuda:0'), tensor(105.9459, device='cuda:0'), tensor(106.3565, device='cuda:0')]
unlearning_grad:[tensor(122.1486, device='cuda:0'), tensor(137.6056, device='cuda:0'), tensor(130.1697, device='cuda:0'), tensor(126.1314, device='cuda:0'), tensor(127.9086, device='cuda:0'), tensor(134.3856, device='cuda:0'), tensor(113.6238, device='cuda:0'), tensor(120.3343, device='cuda:0'), tensor(114.9642, device='cuda:0'), tensor(110.9163, device='cuda:0')]
unlearning_grad:[tensor(126.1584, device='cuda:0'), tensor(143.3006, device='cuda:0'), tensor(137.7191, device='cuda:0'), tensor(133.5558, device='cuda:0'), tensor(131.7104, device='cuda:0'), tensor(132.5480, device='cuda:0'), tensor(120.1400, device='cuda:0'), tensor(144.4966, device='cuda:0'), tensor(118.0387, device='cuda:0'), tensor(116.4430, device='cuda:0')]
